scene_id,prompt,task_type,object_id,object_type
FloorPlan_Val1_1,Find the alarm and go towards it,object,AlarmClock|+07.55|+00.54|-04.01,AlarmClock
FloorPlan_Val1_1,Find the vase and go towards it,object,Vase|+05.85|+00.72|-04.47,Vase
FloorPlan_Val1_1,Find the basketball and go towards it,object,BasketBall|+02.35|+00.12|-01.15,BasketBall
FloorPlan_Val1_1,Find the cellphone and go towards it,object,CellPhone|+03.77|+00.36|-01.32,CellPhone
FloorPlan_Val1_1,Find the tennis racket and go towards it,object,TennisRacket|+09.66|+00.32|-01.09,TennisRacket
FloorPlan_Val1_2,Find the box and go towards it,object,Box|+06.44|+00.25|-02.32,Box
FloorPlan_Val1_2,Find the pillow and go towards it,object,Pillow|+09.37|+00.55|-03.63,Pillow
FloorPlan_Val1_2,Find the statue and go towards it,object,Statue|+07.16|+00.54|-01.13,Statue
FloorPlan_Val1_2,Find the spray and go towards it,object,SprayBottle|+03.97|+00.59|-02.61,SprayBottle
FloorPlan_Val1_2,Find the television and go towards it,object,Television|+02.67|+00.84|-03.24,Television
FloorPlan_Val1_3,Find the garbage can and go towards it,object,GarbageCan|+07.81|-00.01|-04.70,GarbageCan
FloorPlan_Val1_3,Find the bottle and go towards it,object,Bottle|+02.16|+00.74|-01.58,Bottle
FloorPlan_Val1_3,Find the laptop and go towards it,object,Laptop|+08.28|+00.72|-02.91,Laptop
FloorPlan_Val1_3,Find the remote control and go towards it,object,RemoteControl|+02.82|+00.55|-03.48,RemoteControl
FloorPlan_Val1_3,Find the book and go towards it,object,Book|+06.93|+00.59|-03.59,Book
FloorPlan_Val1_4,Find the bed and go towards it,object,Bed|+02.28|+00.00|-01.69,Bed
FloorPlan_Val1_4,Find the baseball bat and go towards it,object,BaseballBat|+06.10|+00.68|-03.56,BaseballBat
FloorPlan_Val1_4,Find the spray and go towards it,object,SprayBottle|+09.15|+00.74|-02.20,SprayBottle
FloorPlan_Val1_4,Find the laptop and go towards it,object,Laptop|+07.97|+00.74|-03.63,Laptop
FloorPlan_Val1_4,Find the television and go towards it,object,Television|+02.46|+01.08|-04.71,Television
FloorPlan_Val1_5,Find the newspaper and go towards it,object,Newspaper|+01.74|+00.45|-01.37,Newspaper
